,Country,City,country_city
0,Andorra,Andorra la Vella,"Andorra la Vella, Andorra"
1,Andorra,Canillo,"Canillo, Andorra"
2,Andorra,Encamp,"Encamp, Andorra"
3,Andorra,Escaldes-Engordany,"Escaldes-Engordany, Andorra"
4,Andorra,Escas,"Escas, Andorra"
5,Andorra,La Farga de Moles,"La Farga de Moles, Andorra"
6,Andorra,La Massana,"La Massana, Andorra"
7,Andorra,Ordino,"Ordino, Andorra"
8,Andorra,Pas de la Casa,"Pas de la Casa, Andorra"
9,Andorra,Sant Julia de Loria,"Sant Julia de Loria, Andorra"
10,Andorra,Santa Coloma,"Santa Coloma, Andorra"
11,United arab emirates,Abu al Bukhoosh,"Abu al Bukhoosh, United arab emirates"
12,United arab emirates,Abu Dhabi,"Abu Dhabi, United arab emirates"
13,United arab emirates,Abu Musa,"Abu Musa, United arab emirates"
14,United arab emirates,Ahmed Bin Rashid Port,"Ahmed Bin Rashid Port, United arab emirates"
15,United arab emirates,Ajman,"Ajman, United arab emirates"
16,United arab emirates,Al Ain,"Al Ain, United arab emirates"
17,United arab emirates,Al Barsha,"Al Barsha, United arab emirates"
18,United arab emirates,Al Dhafra,"Al Dhafra, United arab emirates"
19,United arab emirates,Al Fujayrah,"Al Fujayrah, United arab emirates"
20,United arab emirates,Al Hamriyah,"Al Hamriyah, United arab emirates"
21,United arab emirates,Al Jazeera Port,"Al Jazeera Port, United arab emirates"
22,United arab emirates,Al Jeer Port,"Al Jeer Port, United arab emirates"
23,United arab emirates,Al Mafraq,"Al Mafraq, United arab emirates"
24,United arab emirates,Al Quoz,"Al Quoz, United arab emirates"
25,United arab emirates,Al Sufouh,"Al Sufouh, United arab emirates"
26,United arab emirates,Ar Ruways,"Ar Ruways, United arab emirates"
27,United arab emirates,Arzanah Island,"Arzanah Island, United arab emirates"
28,United arab emirates,Das Island,"Das Island, United arab emirates"
29,United arab emirates,Deira,"Deira, United arab emirates"
30,United arab emirates,Dibba,"Dibba, United arab emirates"
31,United arab emirates,Dubai,"Dubai, United arab emirates"
32,United arab emirates,Dubai World Central Apt,"Dubai World Central Apt, United arab emirates"
